@relation SpeciesRelation

@attribute bin_0 numeric
@attribute bin_1 numeric
@attribute bin_2 numeric
@attribute bin_3 numeric
@attribute bin_4 numeric
@attribute bin_5 numeric
@attribute bin_6 numeric
@attribute bin_7 numeric
@attribute bin_8 numeric
@attribute bin_9 numeric
@attribute species_class {'African Wildcat','Aria Chicken','Basking Shark','Black Rohu','Blacktip shark','Blue shark','Bull shark',Catla,Cheetah,'Common Carp','Domestic Cat',Fish,'Freshwater Shark','Grass Carp','Hammerhead Shark',Jaguar,'Lemon Shark',Leopard,Lion,'Long-whiskered Catfish','Lucifer Chicken','Mako Shark','Mirror Carp',Mrigal,'Nile Tilapia',Nurse,'Popcorn Chicken',Puma,'Puma Concolor',Rohu,'Sand Cat','Sand tiger Shark',Shark,'Silver Carp','Snow leopard','Striped Catfish','Thresher Shark',Tiger,Whale,'White Shark','Whitetip Shark'}

@data
0.15,0.22,0.23,0.19,0.1,0.04,0.02,0.03,0.02,0,Tiger
0.47,0.24,0.2,0.03,0.02,0.02,0.01,0.01,0,0,'White Shark'
0.25,0.51,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0,'Sand tiger Shark'
0.91,0.03,0,0.02,0.02,0.01,0,0,0.01,0,'Whitetip Shark'
0.26,0.45,0.14,0.05,0.01,0.03,0.02,0.02,0.02,0,'Whitetip Shark'
0.46,0.28,0.04,0.02,0.04,0.04,0.04,0.05,0.03,0,'White Shark'
0.79,0.07,0.03,0.05,0.02,0.01,0.02,0.01,0,0,'Whitetip Shark'
0.16,0.16,0.14,0.13,0.1,0.07,0.09,0.05,0.06,0.04,'Whitetip Shark'
0.65,0.19,0.08,0.03,0.02,0.02,0.01,0,0,0,'White Shark'
0.18,0.42,0.27,0.03,0.05,0.02,0.01,0.01,0.01,0,'White Shark'
0.28,0.43,0.16,0.05,0.03,0.02,0,0.01,0.02,0,'Whitetip Shark'
0.69,0.04,0.03,0.06,0.14,0.01,0.02,0.01,0,0,'Whitetip Shark'
0.1,0.07,0.2,0.26,0.1,0.12,0.09,0.03,0.03,0,'Bull shark'
0.31,0.27,0.16,0.1,0.1,0.01,0.02,0.02,0.01,0,'Whitetip Shark'
0.88,0.06,0.03,0.01,0.01,0,0,0.01,0,0,'Whitetip Shark'
0.12,0.25,0.19,0.16,0.06,0.06,0.04,0.06,0.04,0.02,'White Shark'
0.86,0.05,0,0.02,0.01,0.01,0.03,0,0.01,0.01,'Whitetip Shark'
0.76,0.06,0.03,0.05,0.03,0.03,0.02,0.01,0,0.01,'Whitetip Shark'
0.37,0.33,0.19,0.08,0.01,0.01,0.01,0,0,0,'Whitetip Shark'
0.9,0.04,0.03,0.01,0.01,0,0,0.01,0,0,'White Shark'
0.58,0.25,0.1,0.01,0.02,0.01,0.01,0.01,0.01,0,Whale
0.88,0.07,0,0.01,0,0.03,0,0,0.01,0,'White Shark'
0.41,0.33,0.06,0.05,0.08,0.05,0.02,0,0,0,'Whitetip Shark'
